categoryTitle; title ; prop ; price ; fullPrice; imgPath ; categoryUrl;
Битумная черепица Shinglas;СЕРИЯ Оптима;СЕРИЯ Оптима Нарезка – Соната Коллекция «Оптима» – это 4 фантастических цвета: красный, зеленый, коричневый, серый. Выбирайте смело любой цвет, ваши ожидания будут оправданы!;;;https://shinglas.ru/upload/iblock/919/Sonata_Finskaya_sonata_Samba_-_2_.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Оптима, Серый;Оптима, Серый Вес – 19,2 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 22 Цена – 135 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;135;Цена – 135 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/OPTIMA-Seryy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Оптима, Красный;Оптима, Красный Вес – 19,2 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 22 Цена – 135 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;135;Цена – 135 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/OPTIMA-Krasnyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Оптима, Коричневый;Оптима, Коричневый Вес – 19,2 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 22 Цена – 135 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;135;Цена – 135 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/OPTIMA-Korichnevyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Оптима, Зеленый;Оптима, Зеленый Вес – 19,2 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 22 Цена – 135 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;135;Цена – 135 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/OPTIMA-Zelenyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;СЕРИЯ КОМФОРТ, КОЛЛЕКЦИЯ Сальса;СЕРИЯ КОМФОРТ, КОЛЛЕКЦИЯ Сальса Нарезка – Соната Коллекция «Сальса» – это 3 фантастических цвета: авокадо, личи, финик. Выбирайте смело любой цвет, ваши ожидания будут оправданы!;;;https://shinglas.ru/upload/iblock/919/Sonata_Finskaya_sonata_Samba_-_2_.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Комфорт, Авокадо;Комфорт, Авокадо Вес – 24,3 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 36 Цена – 268 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;268;Цена – 268 руб./м2*;https://profnastil-smf.ru/wp-content/uploads/2019/04/avokado-300x300.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Комфорт, Личи;Комфорт, Личи Вес – 24,3 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 36 Цена – 268 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;268;Цена – 268 руб./м2*;https://profnastil-smf.ru/wp-content/uploads/2019/04/lichi-300x300.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Комфорт, Финик;Комфорт, Финик Вес – 24,3 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 36 Цена – 268 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;268;Цена – 268 руб./м2*;https://profnastil-smf.ru/wp-content/uploads/2019/04/finik-300x300.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;СЕРИЯ Комфорт, Коллекция Болеро;СЕРИЯ Комфорт, Коллекция Болеро Нарезка – Аккорд Серия Комфорт, коллекция «Болеро» – это особая форма нарезки битумной черепицы, 3 цвета на выбор. Ваши идеи и кровельный материал Shinglas – мечты сбываются!;;;https://shinglas.ru/upload/iblock/808/Akkord_Finskaya_akkord_Fokstrot_.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Комфорт, Галька;Комфорт, Галька Вес – 24,3 кг Длина – 1003 мм Ширина – 320 мм Количество в упаковке – 36 Цена – 268 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;268;Цена – 268 руб./м2*;https://profnastil-smf.ru/wp-content/uploads/2019/04/galka-300x300.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
